school_name,student_1,student_2,student_3,student_4,student_5,student_6,teacher
논산중앙초등학교,123,126,117,142,139,117,41
도산초등학교,17,18,15,14,10,15,8
두마초등학교,64,66,76,84,93,69,28
반곡초등학교,33,34,18,20,22,23,11
백석초등학교,11,9,12,12,12,8,8
벌곡초등학교,16,11,14,10,9,14,7
부적초등학교,9,11,10,6,8,8,8
상월초등학교,9,4,6,7,11,9,8
성덕초등학교,20,18,15,17,10,9,8
성동초등학교,8,13,7,3,8,6,8
양촌초등학교,15,7,13,17,9,15,10
엄사초등학교,61,54,59,69,85,101,23
연무중앙초등학교,68,62,61,70,53,64,22
연무초등학교,11,5,9,21,10,8,8
연산초등학교,6,18,10,12,18,15,8
왕전초등학교,10,5,8,11,6,10,7
용남초등학교,128,177,137,171,158,184,52
원봉초등학교,7,5,10,11,13,6,7
은진초등학교,16,19,16,28,9,18,9
이화초등학교,1,6,5,4,4,5,7
채운초등학교,19,15,12,13,10,18,8
청동초등학교,5,14,13,6,14,15,8
구룡초등학교,7,0,4,3,6,2,7
궁남초등학교,11,8,6,9,14,15,8
규암초등학교,87,75,84,81,66,81,31
내산초등학교,3,7,3,5,8,5,8
대왕초등학교,6,5,2,4,3,7,8
마정초등학교,0,1,2,2,1,0,5
백강초등학교,10,6,8,10,9,7,7
백제초등학교,10,18,23,25,34,39,14
부여초등학교,102,94,89,113,98,93,32
석성초등학교,2,4,3,3,3,6,7
석양초등학교,8,11,6,9,11,7,8
세도초등학교,6,6,9,9,12,13,7
송간초등학교,2,5,8,12,6,6,9
양화초등학교,2,3,3,2,1,5,7
옥산초등학교,5,2,2,3,3,3,7
외산초등학교,4,3,9,8,4,8,6
용당초등학교,3,4,1,3,4,3,7
은산초등학교,11,12,12,10,11,19,8
임천초등학교,5,13,7,7,14,5,8
장암초등학교,3,10,9,7,6,12,8
초촌초등학교,5,4,4,8,8,6,7
충화초등학교,3,3,5,4,1,3,7
합송초등학교,6,9,4,10,11,7,8
홍산초등학교,10,14,16,11,13,10,7
관대초등학교,9,8,5,16,10,16,8
금곡초등학교,35,34,42,45,47,34,16
금성초등학교,10,14,12,11,12,10,7
남창초등학교,7,7,8,18,14,13,7
도고온천초등학교,12,8,10,7,10,8,7
도고초등학교,12,11,12,12,10,7,7
동덕초등학교,55,46,48,50,39,40,16
동방초등학교,20,15,18,23,19,15,8
둔포초등학교,53,26,64,44,47,67,20
배방초등학교,219,179,178,202,181,175,57
선장초등학교,3,6,5,4,5,5,8
송곡초등학교,26,28,26,47,38,39,14
송남초등학교,25,30,20,36,31,45,13
거산초등학교,19,18,11,18,21,19,7
신광초등학교,39,48,52,60,43,63,21
신리초등학교,159,146,178,137,169,110,44
신창초등학교,76,59,72,82,85,78,33
신화초등학교,5,4,4,3,6,5,8
쌍룡초등학교,7,8,8,8,8,9,7
염작초등학교,210,189,201,197,159,155,55
염티초등학교,17,11,7,16,12,7,7
영인초등학교,10,13,10,14,12,13,8
오목초등학교,15,11,23,18,26,18,8
온양동신초등학교,161,107,148,151,168,178,48
온양온천초등학교,52,48,63,62,75,68,22
온양중앙초등학교,65,50,42,50,62,66,20
온양천도초등학교,157,128,140,140,146,149,42
온양초등학교,75,51,52,46,64,44,23
온양초사초등학교,15,20,14,16,13,20,8
용화초등학교,48,62,72,88,89,84,26
월랑초등학교,230,240,204,219,214,197,67
음봉초등학교,16,11,18,13,14,17,7
인주초등학교,16,20,16,22,23,24,8
탕정초등학교,187,181,212,220,220,211,61
고덕초등학교,10,9,8,15,14,13,7
구만초등학교,2,5,5,4,6,10,7
금오초등학교,96,104,123,131,144,145,37
대술초등학교,3,6,6,0,7,5,8
대흥초등학교,7,4,5,8,11,5,7
덕산초등학교,18,20,22,17,26,31,12
보성초등학교,55,44,40,43,29,22,15
봉산초등학교,6,8,5,3,3,5,8
삽교초등학교,14,10,13,20,25,23,8
수덕초등학교,7,9,4,10,5,11,7
시량초등학교,11,13,5,6,7,7,8
신례원초등학교,15,29,24,31,32,26,14
신암초등학교,4,6,8,8,6,6,8
신양초등학교,2,4,8,6,9,7,8
양신초등학교,5,6,6,9,4,7,8
예덕초등학교,3,5,3,6,5,4,7
예산중앙초등학교,38,17,26,16,9,18,10
예산초등학교,60,75,77,75,83,79,24
오가초등학교,7,5,8,10,6,14,9
용동초등학교,8,6,9,6,7,10,7
웅산초등학교,7,3,7,13,7,5,8
응봉초등학교,8,9,8,5,9,6,8
조림초등학교,9,7,8,9,11,7,7
평촌초등학교,4,5,7,7,11,5,8
광덕초등학교,12,15,14,15,10,14,8
대홍초등학교,7,11,11,12,11,9,7
도장초등학교,13,11,16,9,9,9,7
도하초등학교,9,11,14,8,13,11,7
목천초등학교,16,17,18,15,21,23,10
미죽초등학교,19,17,14,17,10,17,7
병천초등학교,26,24,30,31,33,41,14
보산원초등학교,9,8,5,4,7,3,7
삼은초등학교,89,83,83,93,79,77,24
성거초등학교,94,98,109,114,132,130,38
성남초등학교,5,8,5,9,7,6,7
성신초등학교,17,19,29,25,28,36,15
성환초등학교,78,85,100,123,127,148,36
수신초등학교,6,3,11,5,7,8,7
신가초등학교,8,9,5,10,7,13,7
신계초등학교,39,32,36,47,50,56,17
신방초등학교,8,6,7,11,9,8,7
신사초등학교,3,5,8,5,7,10,7
안서초등학교,58,53,52,58,46,41,17
양당초등학교,21,34,33,51,33,36,15
양대초등학교,9,12,8,15,7,21,7
용정초등학교,13,16,18,8,17,17,7
위례초등학교,8,8,13,10,7,9,7
은석초등학교,8,12,5,12,10,16,8
입장초등학교,20,25,18,25,28,30,14
직산초등학교,17,28,19,42,24,35,12
천동초등학교,6,3,2,7,8,2,8
천안구성초등학교,77,63,80,95,101,100,29
천안남산초등학교,58,52,55,60,64,85,21
천안미라초등학교,57,60,50,67,52,69,20
천안봉명초등학교,49,47,44,43,46,46,17
